日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220831,8242,エイチ・ツー・オー　リテイリング,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8244,近鉄百貨店,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8247,大和,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8249,テクノアソシエ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
20220831,8252,丸井グループ,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220831,8253,クレディセゾン,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行） ,4,TOPIX Mid400
20220831,8254,さいか屋,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8255,アクシアル　リテイリング,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8256,プロルート丸光,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
20220831,8260,井筒屋,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8267,イオン,プライム（内国株式）,6100,小売業,14,小売 ,2,TOPIX Large70
20220831,8273,イズミ,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220831,8275,フォーバル,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20220831,8276,平和堂,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8278,フジ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8279,ヤオコー,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220831,8281,ゼビオホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8282,ケーズホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220831,8283,ＰＡＬＴＡＣ,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,4,TOPIX Mid400
20220831,8285,三谷産業,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20220831,8289,Ｏｌｙｍｐｉｃグループ,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8291,日産東京販売ホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8301,日本銀行　出資証券,出資証券,-,-,-,-,-,-
20220831,8303,新生銀行,スタンダード（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8304,あおぞら銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,7050,銀行業,15,銀行 ,1,TOPIX Core30
20220831,8308,りそなホールディングス,プライム（内国株式）,7050,銀行業,15,銀行 ,2,TOPIX Large70
20220831,8309,三井住友トラスト・ホールディングス,プライム（内国株式）,7050,銀行業,15,銀行 ,2,TOPIX Large70
20220831,8316,三井住友フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行 ,1,TOPIX Core30
20220831,8331,千葉銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8334,群馬銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8336,武蔵野銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8337,千葉興業銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8338,筑波銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8341,七十七銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8343,秋田銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8344,山形銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8345,岩手銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8346,東邦銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8349,東北銀行,スタンダード（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8354,ふくおかフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8355,静岡銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8358,スルガ銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8359,八十二銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8360,山梨中央銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8361,大垣共立銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8362,福井銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8364,清水銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8365,富山銀行,スタンダード（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8366,滋賀銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
